school_id,page_url,page_load_time_ms,page_width,page_height,NDOM_nodes,NDOM_height,page_template,page_menu_or,page_ungrouped_multim,metric,task1,task2,task3,task4,task5,task6,task7,task8
LTPC021019,https://www.liceoformia.it,7319,1587,3826,570,7,7.0,1.0,0.0,4.5,3.12,2.28,3.12,3.61,7.0,5.85,4.75,2.28
KRPS010005,https://filolao.edu.it/,1240,1587,3496,413,7,5.0,1.0,4.0,4.3,2.95,2.58,2.96,3.2,6.5,2.94,6.69,2.58
CLRI01000N,https://www.ipsiacl.edu.it,7986,1587,4999,306,7,6.0,1.0,17.0,3.1,3.22,2.63,4.08,6.5,2.63,6.95,4.06,2.63
NARH150006,https://www.ipseoaducadibuonvicino.edu.it,4224,1587,4382,893,7,7.0,1.0,0.0,4.2,7.0,0.49,0.3,0.3,10.5,10.01,0.37,0.45
CSTD023019,https://www.iissdiamante.edu.it,1076,1587,4127,334,7,5.0,1.0,3.0,4.3,2.89,2.58,2.89,3.08,4.24,9.51,5.21,2.58
RCPC050008,https://www.liceoclassicocampanellarc.edu.it,3332,1587,5396,294,7,8.0,1.0,24.0,3.0,3.11,2.46,3.1,3.49,6.5,6.5,7.69,2.46
BORC012014,https://paolinicassiano.edu.it/,1488,1587,3573,398,7,5.0,1.0,5.0,4.2,2.96,2.58,2.96,3.24,2.58,2.94,6.5,2.58
PZTD01801V,https://www.istsinisgalli.edu.it,2518,1587,4466,313,7,5.0,1.0,3.0,4.1,2.89,2.58,2.89,3.08,6.5,10.31,5.9,2.58
RMPS130017,https://www.LICEOSCIENTIFICOGALILEI.edu.IT,5371,1587,5244,612,11,9.0,1.0,6.0,3.7,3.49,2.16,3.4,4.08,2.64,2.47,3.31,3.58
CAPC03000V,https://www.liceoclassicodettori.edu.it,1624,1587,3356,149,7,9.0,1.0,19.0,3.5,3.06,6.5,5.88,6.5,3.95,6.5,6.5,3.52
SRPC08000R,https://www.liceogargallo.edu.it,1161,1587,3684,289,7,5.0,1.0,2.0,4.3,2.89,2.58,2.89,3.08,6.5,1.95,6.5,2.58
METF020001,https://www.itimajorana.edu.it,2147,1587,1008,410,7,5.0,1.0,4.0,4.3,24.83,24.75,24.82,24.81,6.5,24.85,18.94,24.75
