school_id,page_url,page_load_time_ms,page_width,page_height,NDOM_nodes,NDOM_height,page_template,page_menu_or,page_ungrouped_multim,metric,task1,task2,task3,task4,task5,task6,task7,task8
PNPS010008,https://www.liceogrigoletti.edu.it,3806,1587,4211,221,7,8.0,1.0,7.0,3.7,6.5,2.46,3.14,3.53,6.5,6.5,7.89,2.46
RMTF03301X,https://www.istitutocarlourbani.edu.it/it/,3272,1587,8042,361,8,9.0,1.0,15.0,3.4,4.3,4.3,3.34,4.59,4.3,4.3,6.25,1.47
TRRA010008,https://www.istfabro.edu.it,1694,1587,6512,307,8,7.0,1.0,24.0,3.3,10.16,2.1,6.44,3.23,54.13,6.5,6.5,53.21
MERI03701E,https://www.liceoluciopiccolo.edu.it,1175,1571,3149,199,6,9.0,1.0,18.0,3.6,2.55,2.81,1.6,4.68,2.63,3.27,3.17,6.43
VCRI01901B,https://www.iislombardivc.edu.it/,1895,1587,3158,210,7,8.0,1.0,5.0,3.7,6.5,2.46,3.1,3.49,6.5,6.5,2.58,2.46
VETF022019,https://www.CESTARI-RIGHI.edu.IT,4196,1593,5680,567,12,7.0,1.0,0.0,4.1,2.03,2.73,3.35,3.98,3.17,4.48,3.93,3.17
SAPC011019,https://www.iispisacanesapri.edu.it,1221,1587,4084,137,4,9.0,1.0,0.0,4.5,1.56,6.5,0.3,2.54,3.26,5.42,6.5,2.78
ARRI00801B,https://www.isisvaldarno.edu.it,2245,1587,3443,233,7,5.0,1.0,0.0,4.6,3.13,2.47,3.12,3.51,6.5,7.7,6.5,2.47
ENPS01000R,https://liceoscientificofarinato.edu.it/,1054,1587,3535,354,7,5.0,1.0,3.0,4.4,3.1,2.79,3.1,3.31,6.5,8.68,4.92,2.79
FOTD02000L,https://www.itcserra.edu.it,981,1587,2913,189,6,4.0,3.0,0.0,4.5,2.61,2.4,6.5,6.5,0.3,0.94,2.27,6.5
RMPC101014,https://www.iisguglielmotti.edu.it,3017,1587,16760,576,5,4.0,3.0,6.0,3.8,2.63,1.56,34.75,3.18,2.75,4.57,3.34,3.61
NOTA00301B,https://www.bonfantini.it,2695,1587,4831,307,7,8.0,1.0,4.0,4.2,6.5,2.46,3.1,3.49,6.5,6.5,5.95,2.46
NAPS32000A,https://www.liceosegre.edu.it,1609,1587,3774,433,7,7.0,1.0,0.0,4.1,3.12,2.28,3.12,3.6,6.5,6.07,6.5,2.28
VITF03000E,https://www.depretto.edu.it,2518,1587,5435,266,7,8.0,1.0,14.0,3.3,3.14,2.46,3.13,3.53,5.69,6.5,8.12,2.46
TVRA00803L,https://cerletti.edu.it/,509,1587,4950,405,7,5.0,1.0,0.0,4.3,2.89,2.58,2.89,3.11,6.5,2.0,6.5,2.58
LCTL013018,https://www.iismedardorosso.edu.it/,1270,1587,4188,315,7,5.0,1.0,4.0,4.3,2.91,2.58,2.92,3.15,6.5,2.9,5.39,2.58
VARI04000E,https://www.ipsiasar.it,4294,1587,3648,509,7,7.0,1.0,7.0,4.0,3.12,2.28,3.12,3.6,7.0,4.93,3.54,2.28
SAPS06000L,https://www.liceoseverisalerno.it,1201,1587,3684,357,7,5.0,1.0,3.0,4.2,3.1,2.79,3.1,3.31,6.5,8.98,4.9,2.79
FIRC00201G,https://www.isisenriques.edu.it,2665,1587,6375,283,7,8.0,1.0,14.0,3.4,3.14,2.46,3.13,3.53,6.5,6.5,1.11,2.46
